system   D            wsystem.c:583  maybe_parent_dir                 [   0.00028] Also searching C:\Terraf0rm\Terraf0rm\Terraf0rm\
display  D   display_settings.c:486  _al_score_display_settings       [   0.01633] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01635] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01636] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01637] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01638] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01639] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01640] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01641] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01642] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01643] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01644] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01645] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01646] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01647] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01648] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01649] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01650] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01652] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01653] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01654] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01655] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01656] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01657] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01658] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01659] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01660] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01661] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01662] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01663] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01664] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01665] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01667] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01668] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01669] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01670] Score is : 609
